                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.56163,                0.81722,                 0.9378,                0.94234,                0.88919,                0.97284,                0.81051,                0.67258,                 1.0087,                0.91528,             0.00074994,             0.00074994,             0.00074994
                     27,                 0.5923,                0.81153,                0.95892,                0.85594,                0.94977,                 0.9475,                0.77677,                0.70826,                 1.0369,                0.94823,             0.00072164,             0.00072164,             0.00072164
                     28,                0.58229,                 0.8696,                0.95677,                0.83647,                 0.9924,                0.93208,                0.77902,                0.74242,                 1.0767,                0.98581,             0.00069335,             0.00069335,             0.00069335
                     29,                0.57406,                0.83029,                0.95016,                0.85321,                0.91667,                0.92729,                0.76497,                0.71712,                 1.0273,                0.96582,             0.00066506,             0.00066506,             0.00066506
                     30,                0.60168,                0.85912,                0.95621,                0.83561,                0.95833,                 0.9611,                0.77629,                0.74029,                0.96714,                0.96097,             0.00063676,             0.00063676,             0.00063676
                     31,                0.57004,                0.76645,                0.93078,                0.85242,                0.91433,                0.95632,                0.80687,                0.72813,                0.97563,                0.95299,             0.00060847,             0.00060847,             0.00060847
                     32,                0.59012,                0.79382,                0.95078,                0.97811,                0.76757,                0.92827,                 0.7885,                0.66468,                 1.0945,                0.89661,             0.00058017,             0.00058017,             0.00058017
                     33,                0.55216,                0.80547,                0.94791,                0.94999,                0.77686,                0.91257,                0.77321,                0.66691,                 1.1287,                0.89337,             0.00055188,             0.00055188,             0.00055188
                     34,                0.57597,                0.74747,                0.94029,                0.98876,                0.75465,                0.90925,                0.76314,                0.71986,                 1.1407,                0.93018,             0.00052359,             0.00052359,             0.00052359
                     35,                0.55883,                 0.7625,                0.93495,                0.98956,                0.75296,                0.90832,                 0.7555,                0.76943,                 1.1692,                0.95201,             0.00049529,             0.00049529,             0.00049529
                     36,                0.53513,                0.75852,                 0.9164,                0.96804,                   0.75,                 0.9017,                0.72741,                0.80094,                 1.1669,                  0.962,               0.000467,               0.000467,               0.000467
                     37,                0.52601,                0.74836,                0.91938,                0.73091,                0.88785,                0.92833,                0.76014,                 0.7707,                 1.1399,                0.94772,              0.0004387,              0.0004387,              0.0004387
                     38,                 0.5341,                0.74182,                0.92325,                0.74073,                0.88122,                0.90545,                 0.7592,                0.72393,                 1.1279,                0.92628,             0.00041041,             0.00041041,             0.00041041
                     39,                 0.5165,                0.71117,                0.89476,                0.72862,                0.88223,                0.93917,                0.80454,                0.72316,                 1.0747,                0.93085,             0.00038211,             0.00038211,             0.00038211
                     40,                 0.4936,                0.68884,                0.89274,                0.84633,                 0.8243,                0.96311,                0.82942,                 0.6941,                0.99042,                0.90877,             0.00035382,             0.00035382,             0.00035382
                     41,                0.43474,                 0.7974,                0.83852,                0.80676,                0.83195,                0.97033,                0.83098,                0.68499,                 1.0736,                0.89917,             0.00032553,             0.00032553,             0.00032553
                     42,                0.43152,                0.81462,                0.86552,                0.89066,                 0.7127,                0.95676,                0.82392,                0.67931,                 1.2673,                0.88754,             0.00029723,             0.00029723,             0.00029723
                     43,                 0.3907,                0.78984,                0.84616,                0.95436,                0.71267,                0.95471,                0.80666,                0.66946,                 1.2745,                 0.8871,             0.00026894,             0.00026894,             0.00026894
                     44,                 0.4116,                0.80164,                0.83155,                0.95368,                0.72287,                0.95105,                0.79851,                0.65231,                 1.2665,                0.88938,             0.00024064,             0.00024064,             0.00024064
                     45,                0.39844,                0.72032,                0.80793,                  0.958,                0.73166,                0.97262,                0.81957,                0.63653,                 1.1501,                0.88435,             0.00021235,             0.00021235,             0.00021235
                     46,                0.38138,                0.75793,                 0.8465,                0.78585,                0.89803,                0.98158,                0.82445,                0.62539,                  1.005,                0.88146,             0.00018406,             0.00018406,             0.00018406
                     47,                0.38652,                0.71976,                0.81904,                0.78964,                0.92609,                  0.987,                 0.8234,                0.63205,                0.94639,                0.88629,             0.00015576,             0.00015576,             0.00015576
                     48,                0.38428,                0.72952,                0.83221,                0.79743,                0.93888,                  0.987,                0.83087,                0.64203,                 0.8976,                0.89108,             0.00012747,             0.00012747,             0.00012747
                     49,                0.36049,                0.71701,                0.82041,                0.79438,                0.94254,                0.98409,                 0.8288,                0.63456,                0.91207,                0.88876,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 0.3868,                0.69808,                0.82304,                0.79842,                0.94351,                0.97962,                0.84006,                0.62552,                0.90131,                0.88568,             7.0878e-05,             7.0878e-05,             7.0878e-05
