                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7943,                 3.3065,                 1.0781,                0.00412,                0.91667,                0.29645,                 0.2799,                0.41772,                 3.1944,                0.80774,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                0.78643,                 2.9072,                 1.0571,                0.00476,                      1,                0.70202,                0.62224,                0.45023,                 2.9434,                0.78935,             0.00015408,             0.00015408,             0.00015408
                      3,                0.75964,                 2.2269,                 1.0268,                0.00465,                      1,                 0.7161,                0.64767,                0.51462,                 2.7248,                0.79776,             0.00023331,             0.00023331,             0.00023331
                      4,                0.66996,                 1.6947,                 0.9748,                0.73309,                0.33923,                0.70834,                0.63305,                0.52572,                 2.5225,                 0.8088,             0.00030915,             0.00030915,             0.00030915
                      5,                0.66767,                 1.5067,                 0.9986,                0.90908,                0.55983,                0.87107,                0.77812,                0.57537,                 2.3104,                0.81469,             0.00038159,             0.00038159,             0.00038159
                      6,                 0.6591,                 1.2926,                0.98537,                0.89492,                0.69843,                0.87491,                0.80278,                 0.5389,                 2.2588,                0.80735,             0.00045064,             0.00045064,             0.00045064
                      7,                0.68155,                 1.2338,                 0.9711,                0.93115,                0.73392,                0.90884,                0.82266,                0.62423,                 2.0457,                0.82947,             0.00051629,             0.00051629,             0.00051629
                      8,                0.65307,                  1.058,                0.94712,                0.77167,                0.78453,                0.91332,                0.80401,                0.64736,                 1.8361,                0.83888,             0.00057854,             0.00057854,             0.00057854
                      9,                0.74289,                 1.1825,                0.98622,                0.73206,                0.71766,                0.82732,                0.73404,                0.66586,                 1.9473,                0.88049,              0.0006374,              0.0006374,              0.0006374
                     10,                0.68326,                 1.0479,                0.98922,                0.71569,                0.70238,                0.78092,                 0.6898,                0.82689,                 1.9699,                0.92333,             0.00069287,             0.00069287,             0.00069287
                     11,                0.70303,                 1.0977,                 1.0285,                0.74494,                0.70238,                0.79135,                0.71356,                0.72391,                 2.0576,                0.85076,             0.00074494,             0.00074494,             0.00074494
                     12,                0.66133,                 1.1101,                0.99536,                0.72904,                0.68331,                0.85322,                0.72263,                0.77924,                  1.972,                0.89337,             0.00079361,             0.00079361,             0.00079361
                     13,                 0.6226,                  1.009,                0.95756,                0.81926,                0.70238,                0.82733,                0.68143,                0.90021,                 1.8552,                0.98948,             0.00083889,             0.00083889,             0.00083889
                     14,                0.63336,                 1.0069,                0.96814,                 0.6448,                0.70238,                0.87127,                 0.6939,                0.83507,                 1.8226,                 0.9394,             0.00088078,             0.00088078,             0.00088078
                     15,                0.63736,                0.99015,                0.95025,                0.83107,                0.73686,                0.88006,                0.74967,                0.86653,                 1.7628,                0.94162,             0.00091926,             0.00091926,             0.00091926
                     16,                0.64246,                0.96449,                0.97844,                0.87254,                0.63624,                0.78433,                0.68436,                0.74811,                 1.8798,                0.90161,             0.00095436,             0.00095436,             0.00095436
                     17,                0.64179,                0.97832,                0.95429,                 0.6749,                0.65476,                0.66262,                0.56105,                0.75572,                  2.201,                0.89537,             0.00097629,             0.00097629,             0.00097629
                     18,                0.60881,                 0.9748,                0.96061,                0.96495,                0.65261,                0.71719,                0.58756,                0.74308,                 2.0819,                0.93377,             0.00097629,             0.00097629,             0.00097629
                     19,                0.61677,                0.89974,                0.96646,                0.95073,                0.65476,                0.73472,                0.61755,                 0.7629,                 1.8769,                0.94524,               0.000948,               0.000948,               0.000948
                     20,                0.68323,                0.95344,                 1.0104,                0.77925,                0.70238,                0.76241,                0.65165,                0.82446,                 1.7479,                0.97906,              0.0009197,              0.0009197,              0.0009197
                     21,                0.62103,                0.95077,                0.98492,                0.91418,                0.70238,                0.79473,                0.65742,                0.83455,                 1.6451,                0.95943,             0.00089141,             0.00089141,             0.00089141
                     22,                 0.5724,                   0.92,                0.93048,                 0.7757,                 0.8638,                0.88002,                 0.7133,                0.79891,                 1.2974,                0.95387,             0.00086312,             0.00086312,             0.00086312
                     23,                0.58927,                0.89318,                0.94979,                0.79173,                0.83333,                0.89978,                0.72502,                0.74444,                 1.2015,                0.93719,             0.00083482,             0.00083482,             0.00083482
                     24,                 0.5846,                0.82589,                0.92976,                0.72159,                0.91667,                0.88296,                0.73853,                0.69017,                 1.1728,                0.90452,             0.00080653,             0.00080653,             0.00080653
                     25,                0.60089,                0.86991,                0.96503,                 0.8319,                0.91667,                 0.9322,                0.78007,                0.67381,                 1.0863,                0.90302,             0.00077823,             0.00077823,             0.00077823
