                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60046,                0.81696,                0.93877,                0.86342,                0.95833,                0.99056,                0.76044,                0.83713,                 0.8532,                 0.9408,               0.000948,               0.000948,               0.000948
                     37,                0.61303,                0.82558,                0.94703,                0.86174,                0.94836,                0.96326,                0.78565,                0.85371,                0.89119,                0.95247,             0.00093385,             0.00093385,             0.00093385
                     38,                0.60045,                0.78797,                0.95664,                 0.9471,                 0.9408,                0.99056,                0.82683,                0.81463,                0.82547,                0.96428,              0.0009197,              0.0009197,              0.0009197
                     39,                0.57204,                0.72021,                0.91759,                0.94071,                0.91667,                0.98158,                0.84065,                0.75994,                0.83847,                0.94097,             0.00090556,             0.00090556,             0.00090556
                     40,                0.58587,                0.72666,                0.93199,                0.76753,                 0.9237,                0.96533,                 0.7628,                 0.8046,                 0.9316,                0.95576,             0.00089141,             0.00089141,             0.00089141
                     41,                0.54147,                0.71807,                0.91609,                0.90725,                 0.9181,                0.98158,                 0.7764,                0.85108,                0.87562,                0.97267,             0.00087726,             0.00087726,             0.00087726
                     42,                0.56482,                 0.7224,                0.93013,                0.94916,                0.91667,                0.97446,                0.79027,                0.89276,                0.84408,                0.97616,             0.00086312,             0.00086312,             0.00086312
                     43,                0.56174,                0.69209,                0.94177,                0.98066,                 0.8745,                0.96867,                0.77865,                0.89272,                0.83206,                0.98335,             0.00084897,             0.00084897,             0.00084897
                     44,                0.55184,                0.68576,                0.91696,                0.88269,                0.93758,                0.96013,                0.77413,                0.87876,                0.81317,                0.99645,             0.00083482,             0.00083482,             0.00083482
                     45,                0.59489,                0.70911,                 0.9633,                0.89357,                0.95833,                0.96583,                0.80426,                0.83402,                0.79687,                0.98436,             0.00082067,             0.00082067,             0.00082067
                     46,                0.60106,                0.71596,                0.95406,                0.83581,                0.87477,                0.93701,                0.76943,                 0.7749,                0.90623,                0.93042,             0.00080653,             0.00080653,             0.00080653
                     47,                0.58705,                0.71019,                0.94647,                0.71967,                0.89853,                  0.902,                0.78313,                0.72787,                 1.0087,                0.91602,             0.00079238,             0.00079238,             0.00079238
                     48,                0.54092,                0.67338,                0.93993,                0.96719,                   0.75,                0.88005,                0.77058,                0.72956,                 1.0966,                0.91527,             0.00077823,             0.00077823,             0.00077823
                     49,                0.53683,                0.66088,                0.92158,                0.96484,                   0.75,                0.86805,                0.76336,                0.72416,                 1.0942,                0.90544,             0.00076409,             0.00076409,             0.00076409
                     50,                0.50957,                0.66267,                0.90967,                0.96158,                   0.75,                0.83804,                0.73221,                0.75461,                 1.1999,                0.90757,             0.00074994,             0.00074994,             0.00074994
                     51,                0.56157,                0.71763,                0.94263,                 0.9575,                   0.75,                0.81846,                0.72115,                0.71166,                 1.1583,                0.89203,             0.00073579,             0.00073579,             0.00073579
                     52,                 0.5339,                0.64891,                 0.9349,                 0.9638,                   0.75,                0.83095,                0.74156,                0.68766,                 1.1033,                0.88522,             0.00072164,             0.00072164,             0.00072164
                     53,                0.51636,                0.61719,                0.91891,                0.96436,                   0.75,                0.82645,                0.73189,                0.69412,                 1.0824,                 0.8868,              0.0007075,              0.0007075,              0.0007075
                     54,                0.52681,                  0.631,                0.93456,                0.98302,                0.75679,                0.85593,                0.75082,                0.68774,                 1.0667,                 0.8868,             0.00069335,             0.00069335,             0.00069335
                     55,                0.50886,                0.60981,                0.90778,                 0.8536,                0.82887,                0.87325,                0.76497,                0.67473,                 1.0549,                0.88347,              0.0006792,              0.0006792,              0.0006792
                     56,                0.52274,                0.67615,                0.93062,                0.89429,                0.83905,                0.92316,                0.78264,                0.69176,                0.93054,                0.89654,             0.00066506,             0.00066506,             0.00066506
                     57,                0.50809,                0.62808,                 0.9113,                0.90647,                 0.8381,                0.92906,                0.78575,                 0.7121,                0.90646,                0.90517,             0.00065091,             0.00065091,             0.00065091
                     58,                0.50801,                0.66771,                0.91833,                0.82665,                0.91667,                0.94797,                0.78176,                0.76024,                0.84123,                 0.9235,             0.00063676,             0.00063676,             0.00063676
                     59,                0.54748,                  0.628,                0.91882,                 0.8358,                0.93643,                 0.9591,                0.79571,                 0.7529,                0.82273,                0.91709,             0.00062262,             0.00062262,             0.00062262
                     60,                0.52015,                0.59118,                   0.92,                0.91186,                0.92408,                0.99056,                0.81157,                0.69009,                0.70276,                 0.8903,             0.00060847,             0.00060847,             0.00060847
                     61,                0.50335,                 0.6055,                 0.9236,                0.90712,                0.95032,                  0.995,                0.80424,                0.69774,                0.64711,                 0.8906,             0.00059432,             0.00059432,             0.00059432
                     62,                0.46725,                0.55887,                0.89189,                0.93229,                0.92568,                  0.995,                0.80541,                0.70775,                0.62856,                0.89678,             0.00058017,             0.00058017,             0.00058017
                     63,                0.48304,                0.59987,                0.89997,                0.91074,                0.92475,                  0.987,                0.80548,                0.69006,                0.63447,                0.89144,             0.00056603,             0.00056603,             0.00056603
                     64,                  0.479,                0.58859,                0.93325,                0.89336,                0.94933,                0.96955,                0.83122,                0.68639,                0.68163,                 0.8878,             0.00055188,             0.00055188,             0.00055188
                     65,                0.51544,                0.56038,                0.93673,                0.89112,                0.94588,                  0.965,                0.81954,                0.69362,                0.70772,                0.88783,             0.00053773,             0.00053773,             0.00053773
                     66,                0.47505,                0.52081,                0.89615,                0.92439,                0.92187,                0.96685,                0.81339,                0.74164,                 0.6954,                0.91546,             0.00052359,             0.00052359,             0.00052359
                     67,                0.47995,                0.55206,                0.91558,                0.93356,                0.92058,                  0.971,                0.81206,                0.74881,                0.66279,                0.92301,             0.00050944,             0.00050944,             0.00050944
                     68,                0.47923,                0.54344,                0.89858,                0.90907,                0.91208,                0.95703,                0.80697,                0.71364,                0.70466,                0.90427,             0.00049529,             0.00049529,             0.00049529
                     69,                 0.4669,                0.52351,                0.90202,                0.89501,                0.90997,                0.94651,                0.79976,                0.71312,                 0.7321,                 0.9007,             0.00048114,             0.00048114,             0.00048114
                     70,                0.44364,                0.51753,                 0.8788,                0.89019,                0.90978,                0.93991,                0.79295,                0.73276,                0.77533,                 0.9155,               0.000467,               0.000467,               0.000467
                     71,                0.43977,                0.50101,                0.86363,                0.88666,                0.90923,                0.93986,                0.79365,                0.72835,                0.76999,                0.91575,             0.00045285,             0.00045285,             0.00045285
                     72,                0.48763,                 0.5621,                0.91156,                0.87861,                  0.875,                0.93158,                0.80458,                0.66396,                0.81146,                0.89225,              0.0004387,              0.0004387,              0.0004387
                     73,                0.47146,                0.55755,                0.89844,                 0.8623,                0.87266,                0.91647,                0.80797,                0.65183,                0.88614,                0.88602,             0.00042456,             0.00042456,             0.00042456
                     74,                 0.4378,                  0.516,                0.89074,                0.97714,                0.75943,                 0.8751,                0.77356,                0.65449,                0.98838,                0.88207,             0.00041041,             0.00041041,             0.00041041
                     75,                0.45907,                0.51102,                0.90381,                0.97961,                0.75822,                0.85959,                0.74311,                0.64722,                0.99758,                0.88134,             0.00039626,             0.00039626,             0.00039626
                     76,                0.44378,                0.49188,                0.88953,                0.97845,                   0.75,                0.84117,                0.73924,                0.65709,                  1.085,                0.89625,             0.00038211,             0.00038211,             0.00038211
                     77,                0.43033,                0.50052,                 0.8694,                0.98183,                   0.75,                0.82197,                 0.7288,                0.65876,                 1.1016,                0.90174,             0.00036797,             0.00036797,             0.00036797
                     78,                0.40076,                 0.4587,                0.85274,                0.98126,                   0.75,                 0.8066,                0.71929,                0.67546,                 1.1466,                0.91659,             0.00035382,             0.00035382,             0.00035382
                     79,                0.43992,                0.49585,                0.89708,                0.98166,                   0.75,                0.80101,                0.72763,                0.69078,                 1.1552,                0.92005,             0.00033967,             0.00033967,             0.00033967
                     80,                0.43718,                0.49787,                0.91967,                0.99137,                0.75383,                0.83727,                0.76065,                0.69034,                 1.0622,                0.91544,             0.00032553,             0.00032553,             0.00032553
                     81,                0.43359,                0.50886,                0.92259,                0.99131,                0.75396,                0.84137,                0.75727,                0.69868,                 1.0503,                0.91587,             0.00031138,             0.00031138,             0.00031138
                     82,                0.41535,                0.48307,                0.87472,                0.98998,                 0.7544,                0.84612,                0.76112,                0.73421,                 1.0444,                0.92773,             0.00029723,             0.00029723,             0.00029723
                     83,                0.43898,                0.48705,                0.90292,                0.98915,                0.75464,                0.86138,                  0.746,                0.72591,                 1.0203,                0.92568,             0.00028308,             0.00028308,             0.00028308
                     84,                0.45829,                0.50511,                0.91194,                0.98708,                0.75496,                0.87118,                0.77991,                0.69378,                0.97932,                0.91816,             0.00026894,             0.00026894,             0.00026894
                     85,                0.44315,                0.48034,                0.89086,                 0.9867,                0.75501,                0.88441,                0.78852,                0.68839,                0.96069,                0.91358,             0.00025479,             0.00025479,             0.00025479
                     86,                0.45348,                0.48992,                 0.8927,                0.85508,                0.82662,                 0.9103,                0.80355,                0.68491,                0.92807,                0.90926,             0.00024064,             0.00024064,             0.00024064
                     87,                0.40554,                0.47352,                0.87458,                 0.8554,                0.85649,                0.92067,                0.81021,                0.68385,                0.86748,                0.90494,              0.0002265,              0.0002265,              0.0002265
                     88,                 0.4272,                 0.4889,                0.89955,                0.85421,                0.88999,                 0.9548,                0.80282,                0.70643,                0.81495,                0.91112,             0.00021235,             0.00021235,             0.00021235
                     89,                0.42488,                 0.4732,                0.89628,                0.85438,                0.88946,                0.95768,                0.80271,                0.70859,                 0.8115,                0.91261,              0.0001982,              0.0001982,              0.0001982
